condition,system,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,bistable,noise_growth,29,SINDy-STLSQ,54.0,0.33405304366119193,-0.010351504264393088,True
baseline,bistable,noise_growth,29,SINDy-STLSQ,70.0,0.5458802311757824,0.02284812575229389,True
baseline,bistable,noise_growth,29,SINDy-STLSQ,78.0,1.4648044977860386,0.019936273998830606,True
baseline,bistable,stability_loss,20,Bayesian SINDy (spike-slab),38.0,0.42750726738230105,0.012268527829140327,True
baseline,bistable,stability_loss,20,Bayesian SINDy (spike-slab),54.0,0.7804553833602625,0.005608952701851688,True
baseline,bistable,stability_loss,20,Bayesian SINDy (spike-slab),70.0,0.2892257194606551,0.002115387872699187,True
baseline,bistable,stability_loss,20,Bayesian SINDy (spike-slab),78.0,0.41699245223768155,0.006079191265049716,True
baseline,bistable,stability_loss,20,Kalman OU,38.0,0.1749558061960908,-0.005904798034645234,True
baseline,bistable,stability_loss,20,Kalman OU,54.0,0.3353606263306397,-0.01577764253570748,True
baseline,bistable,stability_loss,20,Kalman OU,70.0,-2.4232310578843146,0.04666473071191998,True
baseline,bistable,stability_loss,20,Kalman OU,78.0,-2.4232310578843146,0.06763903062243153,True
baseline,bistable,stability_loss,20,Latent Neural SDE (VI),38.0,-1.4716744422912598,0.008099975048592375,True
baseline,bistable,stability_loss,20,Latent Neural SDE (VI),54.0,0.9270362854003906,0.005096142515464294,True
baseline,bistable,stability_loss,20,Latent Neural SDE (VI),70.0,-0.24112343788146973,0.002741435930226452,True
baseline,bistable,stability_loss,20,Latent Neural SDE (VI),78.0,-0.2764449119567871,0.009655691429322433,True
baseline,bistable,stability_loss,20,Moment OU,38.0,-0.6439534775028184,0.02382375359904828,True
baseline,bistable,stability_loss,20,Moment OU,54.0,0.11467367065690182,-0.000943034607671929,True
baseline,bistable,stability_loss,20,Moment OU,70.0,0.09820845788411792,-0.006332007312037986,True
baseline,bistable,stability_loss,20,Moment OU,78.0,-0.06951794325524308,0.0035380662286013595,True
baseline,bistable,stability_loss,20,Neural SDE (Euler),38.0,-1.3554461002349854,0.007086159613403628,True
baseline,bistable,stability_loss,20,Neural SDE (Euler),54.0,0.9002373218536377,0.007981849416306322,True
baseline,bistable,stability_loss,20,Neural SDE (Euler),70.0,-0.21081328392028809,0.0018032992923067565,True
baseline,bistable,stability_loss,20,Neural SDE (Euler),78.0,-0.20568370819091797,0.009462957078360909,True
baseline,bistable,stability_loss,20,SINDy-STLSQ,38.0,0.49937107279651727,0.014970764490934249,True
baseline,bistable,stability_loss,20,SINDy-STLSQ,54.0,2.2223080929026677,0.006764361690104567,True
baseline,bistable,stability_loss,20,SINDy-STLSQ,70.0,1.1485402010809738,0.001151505394787769,True
baseline,bistable,stability_loss,20,SINDy-STLSQ,78.0,1.0021995816540654,0.008771813205624784,True
baseline,bistable,stability_loss,21,Bayesian SINDy (spike-slab),38.0,-0.8920526821487713,-0.0006018767033788702,True
baseline,bistable,stability_loss,21,Bayesian SINDy (spike-slab),54.0,1.5917221577610898,0.0007015474172050451,True
baseline,bistable,stability_loss,21,Bayesian SINDy (spike-slab),70.0,-0.9362274581247876,-9.731269132123854e-05,True
baseline,bistable,stability_loss,21,Bayesian SINDy (spike-slab),78.0,3.0223499820845614,0.03382666573897809,True
baseline,bistable,stability_loss,21,Kalman OU,38.0,0.8373233289601671,-0.03227789718056928,True
